Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA,Map,Rank
cloveClove,Controller,Strong / S,64.81,-1.39,50.76%,4.30%,138.1,1.35,Icebox,Placements
cypherCypher,Sentinel,Fair / B,36.98,-2.69,49.04%,2.39%,116.03,1.18,Icebox,Placements
deadlockDeadlock,Sentinel,Weak / C,31.74,-0.28,49.73%,1.34%,115.29,1.13,Icebox,Placements
fadeFade,Initiator,Fair / B,35.3,4.09,49.64%,2.07%,110.22,1.15,Icebox,Placements
gekkoGekko,Initiator,Good / A,51.72,-0.35,49.77%,4.81%,111.5,1.09,Icebox,Placements
harborHarbor,Controller,Bad / D,21.6,-6.39,48.20%,0.76%,112.83,1.14,Icebox,Placements
isoIso,Duelist,Good / A,53.27,0.1,49.74%,3.64%,135.73,1.23,Icebox,Placements
jettJett,Duelist,God / S+,97.94,0.03,50.46%,10.19%,134.45,1.28,Icebox,Placements
kayoKAY/O,Initiator,Weak / C,34.99,2.8,48.60%,2.17%,114.17,1.24,Icebox,Placements
killjoyKilljoy,Sentinel,Fair / B,43.75,4.18,50.48%,2.35%,123.81,1.16,Icebox,Placements
neonNeon,Duelist,Good / A,57.92,0.44,49.52%,5.20%,124.79,1.16,Icebox,Placements
omenOmen,Controller,Good / A,49.22,0.92,48.52%,4.55%,121.82,1.16,Icebox,Placements
phoenixPhoenix,Duelist,Strong / S,72.5,2.03,49.64%,7.95%,116.06,1.12,Icebox,Placements
razeRaze,Duelist,Good / A,48.02,1.36,49.35%,3.31%,131.61,1.2,Icebox,Placements
reynaReyna,Duelist,God / S+,95.3,0.13,50.04%,9.55%,141.19,1.34,Icebox,Placements
sageSage,Sentinel,Strong / S,88.59,1.08,50.24%,10.57%,104.82,1.12,Icebox,Placements
skyeSkye,Initiator,Weak / C,29.24,1.36,48.99%,1.54%,109.95,1.15,Icebox,Placements
sovaSova,Initiator,Strong / S,71.72,-1.08,49.87%,7.46%,115.27,1.18,Icebox,Placements
viperViper,Controller,Fair / B,38.66,1.97,49.22%,2.31%,122.24,1.18,Icebox,Placements
vyseVyse,Sentinel,Weak / C,34.19,-5.95,48.77%,2.19%,117.78,1.14,Icebox,Placements
yoruYoru,Duelist,Fair / B,43.64,1.14,48.68%,3.66%,120.94,1.14,Icebox,Placements
astraAstra,Controller,Weak / C,33.47,-0.49,49.87%,0.45%,139.54,1.4,Icebox,Platinum
breachBreach,Initiator,Bad / D,30.32,1.41,49.01%,0.86%,131.86,1.3,Icebox,Platinum
brimstoneBrimstone,Controller,Bad / D,32.66,-3.9,48.89%,0.85%,136.07,1.42,Icebox,Platinum
chamberChamber,Sentinel,Strong / S,70.51,-1.37,50.01%,7.84%,149.69,1.34,Icebox,Platinum
cloveClove,Controller,Strong / S,77.22,1.7,51.14%,7.96%,154.99,1.47,Icebox,Platinum
cypherCypher,Sentinel,Weak / C,33.23,-0.22,49.19%,1.40%,132.08,1.29,Icebox,Platinum
deadlockDeadlock,Sentinel,Fair / B,35.68,-1.12,50.13%,1.29%,135.63,1.28,Icebox,Platinum
fadeFade,Initiator,Weak / C,33.94,1.71,49.97%,0.95%,131.03,1.34,Icebox,Platinum
gekkoGekko,Initiator,Good / A,51.54,-0.56,50.02%,4.97%,127.48,1.24,Icebox,Platinum
harborHarbor,Controller,Bad / D,31.9,-1.14,49.19%,1.06%,130.28,1.33,Icebox,Platinum
isoIso,Duelist,Good / A,54.75,0.46,50.75%,3.41%,167.61,1.41,Icebox,Platinum
jettJett,Duelist,God / S+,97.94,0.05,50.27%,12.87%,161.42,1.36,Icebox,Platinum
kayoKAY/O,Initiator,Fair / B,38.88,1.52,48.86%,2.13%,133.54,1.45,Icebox,Platinum
killjoyKilljoy,Sentinel,Good / A,57.9,1.9,50.46%,5.69%,138.2,1.25,Icebox,Platinum
neonNeon,Duelist,Good / A,47.01,0.07,49.97%,3.37%,147.42,1.27,Icebox,Platinum
omenOmen,Controller,Fair / B,45.75,-1.26,48.84%,3.85%,138.73,1.32,Icebox,Platinum
phoenixPhoenix,Duelist,Fair / B,42.08,1.53,49.95%,1.69%,156.65,1.39,Icebox,Platinum
razeRaze,Duelist,Good / A,47.26,-0.86,49.58%,3.34%,153.66,1.3,Icebox,Platinum
reynaReyna,Duelist,God / S+,92.31,1.14,50.46%,11.41%,161.54,1.42,Icebox,Platinum
sageSage,Sentinel,Good / A,52.8,1.11,50.25%,4.99%,125.25,1.3,Icebox,Platinum
skyeSkye,Initiator,Weak / C,34.09,2.61,49.82%,1.23%,128.16,1.32,Icebox,Platinum
sovaSova,Initiator,Strong / S,74.9,1.97,50.11%,9.10%,137.56,1.33,Icebox,Platinum
viperViper,Controller,Strong / S,63.09,0.29,49.98%,6.47%,141.1,1.38,Icebox,Platinum
vyseVyse,Sentinel,Fair / B,36.2,-6.04,49.72%,1.29%,139.03,1.35,Icebox,Platinum
yoruYoru,Duelist,Fair / B,34.57,-0.51,48.90%,1.51%,143.54,1.28,Icebox,Platinum
astraAstra,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Icebox,Radiant
breachBreach,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Icebox,Radiant
brimstoneBrimstone,Controller,Good / A,46.19,NEW,56.41%,0.13%,138.79,1.65,Icebox,Radiant
chamberChamber,Sentinel,Fair / B,43.33,-2.07,48.39%,3.18%,146.19,1.27,Icebox,Radiant
cloveClove,Controller,Good / A,50.11,-0.38,51.46%,3.51%,164.91,1.53,Icebox,Radiant
cypherCypher,Sentinel,Good / A,56.51,NEW,66.67%,0.15%,145.29,1.75,Icebox,Radiant
deadlockDeadlock,Sentinel,Weak / C,39.2,+21.79,48.28%,0.60%,157.25,1.36,Icebox,Radiant
fadeFade,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Icebox,Radiant
gekkoGekko,Initiator,Fair / B,41.23,+8.18,51.15%,1.60%,130.51,1.27,Icebox,Radiant
harborHarbor,Controller,Bad / D,34.3,-10.26,43.07%,0.63%,138.64,1.5,Icebox,Radiant
isoIso,Duelist,Good / A,56.31,+0.07,51.65%,6.51%,172.56,1.39,Icebox,Radiant
jettJett,Duelist,God / S+,85.86,-1.60,50.41%,21.24%,161.65,1.34,Icebox,Radiant
kayoKAY/O,Initiator,Bad / D,32.43,-12.29,42.39%,0.36%,135.01,1.45,Icebox,Radiant
killjoyKilljoy,Sentinel,Strong / S,64.19,+5.08,50.89%,11.83%,145.22,1.27,Icebox,Radiant
neonNeon,Duelist,Fair / B,46.08,+1.39,49.73%,2.94%,160.65,1.4,Icebox,Radiant
omenOmen,Controller,Bad / D,37.27,-19.67,49.64%,0.32%,137.84,1.22,Icebox,Radiant
phoenixPhoenix,Duelist,Good / A,46.77,NEW,54.10%,0.56%,172.68,1.54,Icebox,Radiant
razeRaze,Duelist,Fair / B,44.64,-10.64,56.74%,0.37%,153.35,1.2,Icebox,Radiant
reynaReyna,Duelist,Strong / S,64.31,-4.41,50.21%,11.27%,160.79,1.37,Icebox,Radiant
sageSage,Sentinel,Fair / B,41.52,+8.35,49.87%,0.87%,149.8,1.48,Icebox,Radiant
skyeSkye,Initiator,Weak / C,40.22,NEW,47.62%,0.05%,176.31,1.55,Icebox,Radiant
sovaSova,Initiator,God / S+,76.55,+4.10,49.96%,17.79%,140.27,1.36,Icebox,Radiant
viperViper,Controller,Strong / S,70.57,+4.67,51.55%,13.82%,148.35,1.44,Icebox,Radiant
vyseVyse,Sentinel,Weak / C,39.34,+8.31,50.52%,0.33%,146.01,1.31,Icebox,Radiant
yoruYoru,Duelist,Fair / B,43.06,+5.07,50.18%,1.94%,148.44,1.36,Icebox,Radiant
astraAstra,Controller,Bad / D,30.56,4.64,49.46%,0.51%,137.66,1.38,Icebox,Silver
breachBreach,Initiator,Bad / D,31.41,2.12,49.41%,1.31%,133.26,1.3,Icebox,Silver
brimstoneBrimstone,Controller,Fair / B,38.03,2.61,49.55%,1.79%,136.2,1.4,Icebox,Silver
chamberChamber,Sentinel,Strong / S,64.61,-1.57,50.17%,5.93%,149.08,1.37,Icebox,Silver
cloveClove,Controller,Strong / S,82.83,-0.75,51.24%,7.66%,154.86,1.47,Icebox,Silver
cypherCypher,Sentinel,Fair / B,38.41,-1.03,49.67%,2.38%,132.11,1.32,Icebox,Silver
deadlockDeadlock,Sentinel,Fair / B,35.98,1.54,50.05%,1.73%,133.39,1.27,Icebox,Silver
fadeFade,Initiator,Weak / C,34.35,1.45,49.84%,1.54%,129.07,1.32,Icebox,Silver
gekkoGekko,Initiator,Good / A,53.8,-1.42,50.24%,5.39%,127.96,1.24,Icebox,Silver
harborHarbor,Controller,Bad / D,26.48,2.51,48.95%,1.04%,128.37,1.3,Icebox,Silver
isoIso,Duelist,Good / A,58.08,1.4,50.43%,3.75%,161.72,1.39,Icebox,Silver
jettJett,Duelist,God / S+,84.4,-0.59,50.50%,8.75%,161.13,1.39,Icebox,Silver
kayoKAY/O,Initiator,Fair / B,36.53,0.35,48.81%,2.52%,129.86,1.4,Icebox,Silver
killjoyKilljoy,Sentinel,Good / A,53.39,-0.13,50.42%,4.66%,137.14,1.25,Icebox,Silver
neonNeon,Duelist,Good / A,54.55,1.03,50.13%,4.45%,147.07,1.3,Icebox,Silver
omenOmen,Controller,Good / A,55.45,0.25,49.31%,5.59%,141.18,1.32,Icebox,Silver
phoenixPhoenix,Duelist,Fair / B,46.71,-0.98,49.91%,2.48%,153.47,1.38,Icebox,Silver
razeRaze,Duelist,Fair / B,48.24,-1.16,49.27%,3.81%,151.45,1.31,Icebox,Silver
reynaReyna,Duelist,God / S+,99.03,0.16,50.53%,11.16%,162.41,1.46,Icebox,Silver
sageSage,Sentinel,Strong / S,64.23,1.31,50.28%,7.37%,123.23,1.28,Icebox,Silver
skyeSkye,Initiator,Weak / C,33.0,1.07,49.35%,1.87%,127.59,1.31,Icebox,Silver
sovaSova,Initiator,Strong / S,59.18,-0.97,49.87%,6.09%,135.87,1.3,Icebox,Silver
viperViper,Controller,Good / A,50.91,-1.38,49.89%,4.08%,138.75,1.36,Icebox,Silver
vyseVyse,Sentinel,Weak / C,35.35,-10.55,49.40%,1.91%,135.62,1.31,Icebox,Silver
yoruYoru,Duelist,Weak / C,34.5,0.12,48.82%,2.24%,140.15,1.28,Icebox,Silver
astraAstra,Controller,Bad / D,23.76,-6.0,48.11%,0.64%,138.22,1.42,Lotus,Allrank
breachBreach,Initiator,Fair / B,43.27,3.68,50.14%,2.98%,130.9,1.4,Lotus,Allrank
brimstoneBrimstone,Controller,Weak / C,32.66,-6.5,49.14%,1.48%,133.72,1.49,Lotus,Allrank
chamberChamber,Sentinel,Strong / S,65.9,-3.5,50.08%,6.19%,148.93,1.35,Lotus,Allrank
cloveClove,Controller,God / S+,99.43,2.29,51.07%,10.33%,152.93,1.54,Lotus,Allrank
cypherCypher,Sentinel,Fair / B,47.75,0.59,49.99%,3.91%,132.81,1.32,Lotus,Allrank
deadlockDeadlock,Sentinel,Fair / B,35.64,6.28,50.98%,1.62%,133.26,1.31,Lotus,Allrank
fadeFade,Initiator,Good / A,48.96,-0.93,50.04%,4.00%,129.17,1.38,Lotus,Allrank
gekkoGekko,Initiator,Strong / S,63.82,-2.65,49.93%,6.79%,125.58,1.25,Lotus,Allrank
harborHarbor,Controller,Bad / D,15.69,0.87,47.07%,0.48%,127.38,1.29,Lotus,Allrank
isoIso,Duelist,Good / A,54.4,1.08,50.16%,3.95%,161.79,1.39,Lotus,Allrank
jettJett,Duelist,Strong / S,82.26,-0.93,50.23%,8.65%,152.77,1.31,Lotus,Allrank
kayoKAY/O,Initiator,Weak / C,31.46,0.93,49.42%,1.24%,129.95,1.5,Lotus,Allrank
killjoyKilljoy,Sentinel,Good / A,52.71,0.87,50.09%,4.66%,138.96,1.25,Lotus,Allrank
neonNeon,Duelist,Good / A,61.88,1.04,50.38%,5.68%,145.66,1.29,Lotus,Allrank
omenOmen,Controller,Good / A,60.77,0.48,49.07%,6.06%,135.21,1.4,Lotus,Allrank
phoenixPhoenix,Duelist,Fair / B,43.95,-7.58,50.15%,2.51%,153.9,1.4,Lotus,Allrank
razeRaze,Duelist,Strong / S,73.99,-3.16,50.16%,7.26%,156.4,1.33,Lotus,Allrank
reynaReyna,Duelist,God / S+,88.76,1.71,50.23%,9.21%,157.49,1.43,Lotus,Allrank
sageSage,Sentinel,Good / A,51.48,9.68,51.09%,4.13%,126.95,1.33,Lotus,Allrank
skyeSkye,Initiator,Weak / C,33.33,3.45,49.37%,1.94%,129.04,1.36,Lotus,Allrank
sovaSova,Initiator,Fair / B,39.72,5.36,50.28%,2.15%,140.52,1.39,Lotus,Allrank
viperViper,Controller,Bad / D,26.9,-1.42,49.24%,0.67%,142.21,1.37,Lotus,Allrank
vyseVyse,Sentinel,Weak / C,35.16,-8.29,50.07%,1.69%,139.25,1.35,Lotus,Allrank
yoruYoru,Duelist,Fair / B,36.33,2.65,49.70%,1.97%,143.82,1.33,Lotus,Allrank
astraAstra,Controller,Weak / C,32.15,-2.95,48.60%,0.77%,140.88,1.5,Lotus,Ascendant
breachBreach,Initiator,Good / A,48.7,1.25,49.73%,4.01%,129.92,1.43,Lotus,Ascendant
brimstoneBrimstone,Controller,Weak / C,32.98,3.14,49.67%,0.45%,136.12,1.61,Lotus,Ascendant
chamberChamber,Sentinel,Strong / S,70.46,-3.69,49.91%,7.96%,150.6,1.33,Lotus,Ascendant
cloveClove,Controller,God / S+,98.96,0.45,50.96%,12.53%,155.14,1.58,Lotus,Ascendant
cypherCypher,Sentinel,Fair / B,48.26,2.33,49.88%,4.00%,134.69,1.33,Lotus,Ascendant
deadlockDeadlock,Sentinel,Fair / B,36.42,0.99,51.00%,1.24%,137.34,1.36,Lotus,Ascendant
fadeFade,Initiator,Good / A,49.92,-0.38,49.89%,4.17%,132.28,1.42,Lotus,Ascendant
gekkoGekko,Initiator,Strong / S,69.31,-2.81,50.08%,8.34%,126.55,1.27,Lotus,Ascendant
harborHarbor,Controller,Bad / D,24.56,1.56,47.24%,0.15%,132.72,1.39,Lotus,Ascendant
isoIso,Duelist,Good / A,52.0,2.76,50.68%,3.58%,168.09,1.42,Lotus,Ascendant
jettJett,Duelist,God / S+,84.63,-5.43,50.16%,10.56%,156.51,1.31,Lotus,Ascendant
kayoKAY/O,Initiator,Bad / D,30.41,1.01,48.39%,0.48%,136.24,1.55,Lotus,Ascendant
killjoyKilljoy,Sentinel,Good / A,58.23,1.26,50.66%,5.64%,142.55,1.28,Lotus,Ascendant
neonNeon,Duelist,Good / A,55.45,4.03,51.01%,4.77%,150.0,1.31,Lotus,Ascendant
omenOmen,Controller,Good / A,56.9,-1.47,48.78%,5.71%,136.88,1.45,Lotus,Ascendant
phoenixPhoenix,Duelist,Fair / B,39.28,2.4,50.69%,1.23%,159.9,1.44,Lotus,Ascendant
razeRaze,Duelist,Strong / S,76.43,-4.78,49.78%,9.05%,158.07,1.31,Lotus,Ascendant
reynaReyna,Duelist,Strong / S,77.72,-2.21,50.38%,8.84%,159.19,1.43,Lotus,Ascendant
sageSage,Sentinel,Weak / C,33.05,2.15,49.68%,1.21%,129.12,1.34,Lotus,Ascendant
skyeSkye,Initiator,Fair / B,36.11,1.81,49.85%,1.58%,130.7,1.4,Lotus,Ascendant
sovaSova,Initiator,Fair / B,36.05,1.1,50.27%,1.08%,144.65,1.43,Lotus,Ascendant
viperViper,Controller,Bad / D,31.93,8.08,49.68%,0.24%,150.7,1.47,Lotus,Ascendant
vyseVyse,Sentinel,Weak / C,35.03,-10.3,49.79%,1.14%,142.18,1.4,Lotus,Ascendant
yoruYoru,Duelist,Fair / B,35.06,-0.3,49.44%,1.28%,147.42,1.34,Lotus,Ascendant
astraAstra,Controller,Bad / D,23.14,1.99,48.48%,0.60%,132.17,1.33,Lotus,Bronze
breachBreach,Initiator,Fair / B,41.62,1.39,50.15%,2.17%,129.74,1.31,Lotus,Bronze
brimstoneBrimstone,Controller,Fair / B,43.73,-2.95,49.62%,2.34%,134.16,1.41,Lotus,Bronze
chamberChamber,Sentinel,Strong / S,60.56,0.67,50.05%,5.02%,143.11,1.33,Lotus,Bronze
cloveClove,Controller,God / S+,88.28,-1.37,51.11%,7.78%,147.86,1.44,Lotus,Bronze
cypherCypher,Sentinel,Good / A,50.78,-4.08,49.93%,4.27%,129.73,1.31,Lotus,Bronze
deadlockDeadlock,Sentinel,Weak / C,37.5,-1.59,50.18%,2.04%,126.78,1.24,Lotus,Bronze
fadeFade,Initiator,Fair / B,42.03,-1.69,50.00%,2.87%,124.3,1.31,Lotus,Bronze
gekkoGekko,Initiator,Good / A,56.24,-2.74,50.04%,6.29%,124.18,1.22,Lotus,Bronze
harborHarbor,Controller,Bad / D,15.58,7.24,48.15%,0.95%,122.95,1.23,Lotus,Bronze
isoIso,Duelist,Good / A,54.6,1.24,49.82%,3.68%,151.2,1.32,Lotus,Bronze
jettJett,Duelist,Strong / S,63.26,2.05,49.88%,5.43%,149.6,1.32,Lotus,Bronze
kayoKAY/O,Initiator,Weak / C,34.11,2.8,49.04%,2.22%,124.07,1.37,Lotus,Bronze
killjoyKilljoy,Sentinel,Fair / B,46.79,-0.36,50.24%,3.33%,133.68,1.24,Lotus,Bronze
neonNeon,Duelist,Good / A,58.47,0.83,50.18%,5.15%,139.02,1.26,Lotus,Bronze
omenOmen,Controller,Good / A,60.2,0.89,49.30%,6.81%,133.47,1.31,Lotus,Bronze
phoenixPhoenix,Duelist,Good / A,52.55,5.13,50.05%,3.02%,147.44,1.34,Lotus,Bronze
razeRaze,Duelist,Strong / S,66.56,-0.5,50.22%,5.35%,150.93,1.34,Lotus,Bronze
reynaReyna,Duelist,God / S+,98.99,0.24,50.45%,10.54%,154.12,1.43,Lotus,Bronze
sageSage,Sentinel,Strong / S,65.39,-2.12,50.17%,7.87%,119.71,1.26,Lotus,Bronze
skyeSkye,Initiator,Weak / C,36.57,-1.48,49.50%,2.70%,122.04,1.3,Lotus,Bronze
sovaSova,Initiator,Fair / B,44.29,5.23,49.96%,3.04%,132.03,1.28,Lotus,Bronze
viperViper,Controller,Bad / D,32.41,-2.55,49.43%,1.22%,134.23,1.29,Lotus,Bronze
vyseVyse,Sentinel,Fair / B,39.49,-10.69,49.68%,2.42%,130.96,1.3,Lotus,Bronze
yoruYoru,Duelist,Weak / C,36.86,2.44,49.08%,2.89%,133.89,1.26,Lotus,Bronze
astraAstra,Controller,Weak / C,29.52,-4.63,48.50%,0.92%,139.8,1.46,Lotus,Diamond
breachBreach,Initiator,Fair / B,48.17,1.71,49.81%,3.93%,130.1,1.4,Lotus,Diamond
brimstoneBrimstone,Controller,Weak / C,31.67,1.46,49.47%,0.73%,138.01,1.56,Lotus,Diamond
chamberChamber,Sentinel,Strong / S,75.56,-5.48,49.97%,8.12%,150.75,1.35,Lotus,Diamond
cloveClove,Controller,God / S+,99.13,0.02,50.87%,11.19%,153.66,1.55,Lotus,Diamond
cypherCypher,Sentinel,Good / A,49.41,3.03,49.83%,4.21%,134.6,1.32,Lotus,Diamond
deadlockDeadlock,Sentinel,Weak / C,34.29,5.75,50.36%,1.36%,137.53,1.35,Lotus,Diamond
fadeFade,Initiator,Good / A,49.29,1.48,50.27%,3.90%,131.44,1.41,Lotus,Diamond
gekkoGekko,Initiator,Strong / S,69.0,-1.79,50.12%,7.69%,126.96,1.27,Lotus,Diamond
harborHarbor,Controller,Bad / D,22.67,0.04,48.01%,0.28%,134.81,1.37,Lotus,Diamond
isoIso,Duelist,Good / A,49.89,2.65,50.22%,3.22%,166.69,1.41,Lotus,Diamond
jettJett,Duelist,God / S+,87.26,-2.74,50.11%,9.92%,157.36,1.33,Lotus,Diamond
kayoKAY/O,Initiator,Bad / D,28.6,-0.15,48.26%,0.90%,133.52,1.5,Lotus,Diamond
killjoyKilljoy,Sentinel,Good / A,54.1,2.4,50.43%,4.78%,140.91,1.26,Lotus,Diamond
neonNeon,Duelist,Good / A,52.79,2.86,50.60%,4.25%,148.22,1.3,Lotus,Diamond
omenOmen,Controller,Good / A,63.06,0.72,49.16%,6.44%,136.14,1.43,Lotus,Diamond
phoenixPhoenix,Duelist,Fair / B,38.83,1.18,49.93%,1.67%,157.47,1.41,Lotus,Diamond
razeRaze,Duelist,Strong / S,76.62,-4.2,50.05%,8.11%,159.0,1.33,Lotus,Diamond
reynaReyna,Duelist,Strong / S,86.29,-2.45,50.08%,9.51%,159.01,1.42,Lotus,Diamond
sageSage,Sentinel,Fair / B,36.86,1.64,49.93%,2.25%,126.76,1.32,Lotus,Diamond
skyeSkye,Initiator,Fair / B,35.12,2.06,49.44%,1.89%,131.01,1.39,Lotus,Diamond
sovaSova,Initiator,Fair / B,34.87,2.48,49.91%,1.48%,140.45,1.38,Lotus,Diamond
viperViper,Controller,Bad / D,28.57,0.55,49.16%,0.36%,149.8,1.44,Lotus,Diamond
vyseVyse,Sentinel,Fair / B,35.58,-8.7,49.86%,1.55%,141.29,1.4,Lotus,Diamond
yoruYoru,Duelist,Weak / C,32.87,0.1,49.12%,1.35%,147.9,1.35,Lotus,Diamond
astraAstra,Controller,Bad / D,28.67,-0.38,49.02%,0.81%,139.5,1.44,Lotus,Gold
breachBreach,Initiator,Fair / B,45.36,4.43,50.22%,3.24%,133.55,1.38,Lotus,Gold
brimstoneBrimstone,Controller,Weak / C,35.0,-0.31,49.32%,1.53%,137.56,1.5,Lotus,Gold
chamberChamber,Sentinel,Strong / S,71.65,-3.03,50.10%,7.10%,151.64,1.37,Lotus,Gold
cloveClove,Controller,God / S+,95.06,0.63,51.21%,9.64%,154.42,1.53,Lotus,Gold
cypherCypher,Sentinel,Good / A,49.08,0.13,50.02%,4.12%,133.72,1.33,Lotus,Gold
deadlockDeadlock,Sentinel,Weak / C,34.94,3.13,50.30%,1.69%,134.47,1.3,Lotus,Gold
fadeFade,Initiator,Fair / B,42.91,-1.07,50.01%,3.10%,130.09,1.37,Lotus,Gold
gekkoGekko,Initiator,Good / A,61.44,-1.99,50.23%,6.52%,127.38,1.26,Lotus,Gold
harborHarbor,Controller,Bad / D,19.41,0.61,48.15%,0.52%,131.36,1.31,Lotus,Gold
isoIso,Duelist,Good / A,54.26,1.95,50.43%,3.47%,164.62,1.41,Lotus,Gold
jettJett,Duelist,Strong / S,77.42,-0.88,50.15%,7.85%,158.73,1.36,Lotus,Gold
kayoKAY/O,Initiator,Weak / C,29.89,3.26,48.46%,1.62%,131.41,1.44,Lotus,Gold
killjoyKilljoy,Sentinel,Good / A,47.69,1.89,50.40%,3.74%,139.0,1.26,Lotus,Gold
neonNeon,Duelist,Good / A,54.78,1.06,50.25%,4.55%,147.93,1.31,Lotus,Gold
omenOmen,Controller,Strong / S,64.14,-0.84,49.14%,6.84%,137.41,1.39,Lotus,Gold
phoenixPhoenix,Duelist,Fair / B,45.75,1.68,50.19%,2.40%,157.7,1.42,Lotus,Gold
razeRaze,Duelist,Strong / S,70.95,-1.86,50.25%,6.65%,159.86,1.36,Lotus,Gold
reynaReyna,Duelist,God / S+,98.54,-0.25,50.50%,10.67%,161.97,1.46,Lotus,Gold
sageSage,Sentinel,Good / A,52.75,1.22,50.27%,4.92%,125.18,1.31,Lotus,Gold
skyeSkye,Initiator,Fair / B,35.93,1.95,49.53%,2.35%,128.47,1.35,Lotus,Gold
sovaSova,Initiator,Fair / B,37.53,1.56,49.66%,2.20%,140.02,1.34,Lotus,Gold
viperViper,Controller,Bad / D,27.81,0.56,49.35%,0.66%,141.35,1.36,Lotus,Gold
vyseVyse,Sentinel,Fair / B,36.61,-12.37,49.53%,2.12%,138.27,1.36,Lotus,Gold
yoruYoru,Duelist,Weak / C,32.41,-1.06,48.99%,1.70%,144.21,1.32,Lotus,Gold
astraAstra,Controller,Weak / C,33.86,-3.29,48.48%,0.51%,141.37,1.47,Lotus,Immortal
breachBreach,Initiator,Fair / B,47.87,-0.18,50.03%,3.66%,128.11,1.45,Lotus,Immortal
brimstoneBrimstone,Controller,Bad / D,30.53,-19.33,46.73%,0.21%,135.22,1.58,Lotus,Immortal
chamberChamber,Sentinel,Good / A,60.3,-4.24,50.11%,6.37%,149.52,1.33,Lotus,Immortal
cloveClove,Controller,God / S+,97.15,5.38,50.85%,14.03%,156.1,1.6,Lotus,Immortal
cypherCypher,Sentinel,Good / A,47.92,6.32,50.54%,3.67%,133.74,1.33,Lotus,Immortal
deadlockDeadlock,Sentinel,Fair / B,39.14,2.22,50.64%,1.31%,140.24,1.37,Lotus,Immortal
fadeFade,Initiator,Good / A,54.13,0.3,50.12%,5.00%,132.51,1.46,Lotus,Immortal
gekkoGekko,Initiator,Strong / S,64.42,-0.93,49.95%,8.04%,127.27,1.28,Lotus,Immortal
harborHarbor,Controller,Bad / D,17.3,3.41,40.65%,0.08%,125.65,1.29,Lotus,Immortal
isoIso,Duelist,Good / A,56.38,1.36,50.96%,4.45%,169.04,1.43,Lotus,Immortal
jettJett,Duelist,God / S+,82.38,0.83,50.58%,11.31%,157.05,1.31,Lotus,Immortal
kayoKAY/O,Initiator,Fair / B,40.77,9.22,52.84%,0.28%,137.77,1.67,Lotus,Immortal
killjoyKilljoy,Sentinel,Good / A,61.02,-1.1,49.67%,7.07%,142.02,1.24,Lotus,Immortal
neonNeon,Duelist,Strong / S,61.08,6.35,50.69%,6.36%,151.41,1.31,Lotus,Immortal
omenOmen,Controller,Good / A,50.2,-1.37,48.23%,4.64%,135.36,1.46,Lotus,Immortal
phoenixPhoenix,Duelist,Fair / B,41.23,0.6,51.30%,0.80%,164.24,1.45,Lotus,Immortal
razeRaze,Duelist,Strong / S,72.13,-0.48,49.94%,9.08%,158.14,1.31,Lotus,Immortal
reynaReyna,Duelist,Strong / S,69.74,2.13,50.59%,8.00%,158.12,1.43,Lotus,Immortal
sageSage,Sentinel,Bad / D,33.48,4.33,48.56%,0.64%,138.86,1.4,Lotus,Immortal
skyeSkye,Initiator,Weak / C,36.79,-0.72,49.42%,1.24%,131.61,1.42,Lotus,Immortal
sovaSova,Initiator,Weak / C,36.92,-2.24,49.22%,0.94%,145.58,1.45,Lotus,Immortal
viperViper,Controller,Weak / C,36.32,2.57,50.37%,0.22%,151.47,1.47,Lotus,Immortal
vyseVyse,Sentinel,Fair / B,38.57,-9.88,50.31%,0.81%,149.26,1.48,Lotus,Immortal
yoruYoru,Duelist,Fair / B,40.36,-1.27,50.69%,1.26%,151.33,1.39,Lotus,Immortal
astraAstra,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Lotus,Iron
breachBreach,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Lotus,Iron
brimstoneBrimstone,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Lotus,Iron
chamberChamber,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Lotus,Iron
cloveClove,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Lotus,Iron
cypherCypher,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Lotus,Iron
deadlockDeadlock,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Lotus,Iron
fadeFade,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Lotus,Iron
gekkoGekko,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Lotus,Iron
harborHarbor,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Lotus,Iron
isoIso,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Lotus,Iron
jettJett,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Lotus,Iron
